station_id,name,lat,lng,address,operator_id,location
BNBN0343,"천안 봉서초등학교",36.81246270,127.13125340,"충남 천안시 동남구 봉서10길 12 (봉명동, 봉서초등학교)",BN,...
BNBN0344,"충남 아산 충남외국어고등학교",36.80400530,127.06145420,"충남 아산시 탕정면 탕정면로 53-60 (명암리, 충남외국어고등학교)",BN,...
BNBN0345,"아산 북수초등학교",36.76806260,127.07691410,"충남 아산시 배방읍 북수리 299-24",BN,...
BNBN0347,"충남 천안 천안여자고등학교",36.77858330,127.16917660,"충남 천안시 동남구 삼룡3길 30 (삼룡동, 천안여자고등학교)",BN,...
BNBN0348,"천안 가람초등학교",36.84306600,127.12429760,"충남 천안시 서북구 성성동 828",BN,...
BNBN0350,"경남 함양 국립축산과학원-가축유전자원센터",35.71979040,127.68596450,"경남 함양군 서상면 덕유월성로 224 (상남리, 가축유전자원센터)",BN,...
BNBN0351,"진주 경상남도교육청학생안전체험교육원",35.16654170,128.16685440,"경남 진주시 문산읍 동부로588번길 20 (삼곡리)",BN,...
BNBN0352,"경남 통영 스탠포드 호텔",34.82454110,128.43942050,"경상남도 통영시 도남로 347",BN,...
BNBN0353,"전남 순천 순천고등학교",34.94550840,127.48615560,"전남 순천시 우석로 191 (인제동)",BN,...
BNBN0355,"전남 순천 순천공업고등학교",34.95726910,127.51604610,"전남 순천시 유동길 50 (조례동, 순천공업고등학교)",BN,...
BNBN0356,"경남 창원 여성가족재단",35.23473280,128.68710390,"경상남도 창원시 성산구 용지로 240",BN,...
BNBN0358,"전남 고흥 고흥고등학교",34.60647950,127.29357330,"전남 고흥군 고흥읍 학교길 23 (호형리, 고흥고등학교)",BN,...
BNBN0365,"세종 세종테크노파크",36.59288740,127.29254970,"세종특별자치시 조치원읍 군청로 87-16",BN,...
BNBN0367,"서울 성북구보건소",37.60266700,127.03956900,"서울특별시 성북구 화랑로 63",BN,...
BNBN0368,"서울 성북구 정릉4동 공동주차장",37.61258790,127.01163490,"서울 성북구 정릉동 266-56",BN,...
BNBN0369,"인천 남동구 통계청",37.44611480,126.70346220,"인천 남동구 구월동 1460",BN,...
BNBN0372,"성남 중원노인종합복지관",37.43202220,127.13152920,"경기 성남시 중원구 성남동 3439",BN,...
